# REGION | NAMES | REGISTER | APPROACH NORM | EXCLUDE SETTINGS (keywords, ; separated) | KIDS SHIFT (down|same|up) | FOREIGN % (chance she is not from this country) | COUNTRY
#
# COUNTRY exists so that a foreign origin can be drawn from a different one.
# It is not derivable from REGION — 'Midwest USA', 'Northern England' and
# 'Provincial coastal Puglia — Molfetta, Barletta, Trani, Bisceglie' do not
# share a format — and without it the draw will happily send a woman from
# Lecce to Bari as a tourist with no shared language.
Northern England | Anglo, often shortened | dry, understated, teasing as affection | approaching strangers is normal in pubs and queues, unusual in daytime shops; warmth is expressed through mockery | ski lift | same | 12 | UK
London, England | mixed Anglo, South Asian, West African, Eastern European | fast, ironic, guarded | strangers are not spoken to on transport as a rule; bars and parks are open; being approached alone in public is often unwelcome | ski lift | down | 40 | UK
Ireland | Irish and Anglo | voluble, self-deprecating, indirect refusals | conversation with strangers is easy and means little; a warm chat is not interest; the refusal will be wrapped and must still be heard | ski lift | up | 15 | Ireland
New York City, USA | very mixed; Jewish, Italian, Dominican, Chinese, Anglo | fast, direct, low patience for preamble | approaching is common and unremarkable; brevity is respect; a woman alone in public expects to be left alone and will say so plainly | ski lift | down | 25 | USA
Midwest USA | Anglo, German, Scandinavian, Polish descent | friendly surface, conflict-avoidant, indirect | strangers are pleasant to each other by default, which means almost nothing; the no arrives as enthusiasm that goes nowhere | ferry; ski lift | up | 5 | USA
Texas, USA | Anglo, Mexican, mixed | warm, forthcoming, formally polite | approaching is easy and friendliness is genuine but not romantic; politeness is near-mandatory and disguises refusal | ferry; ski lift | up | 10 | USA
Coastal California, USA | very mixed | casual, therapeutic vocabulary, boundary-explicit | approaching is accepted in social settings, discouraged in gyms and workplaces; women state boundaries directly and expect them honoured first time | ski lift | down | 20 | USA
Toronto, Canada | very mixed; Chinese, South Asian, Caribbean, Anglo | polite, hedged, apologetic | approaching strangers is mildly transgressive outside nightlife; apology is a social lubricant, not contrition; refusals are extremely soft | - | same | 35 | Canada
Bari, Puglia, Italy | Italian; Barese dialect between intimates | expressive, loud, fast, interruptive; dialect used as a marker of closeness rather than of class | a real city of three hundred thousand and anonymous in the centre; public sociability is high, the evening passeggiata puts everyone outdoors, and being approached is ordinary and lightly assumed; the university and the port keep a floating population, so a stranger is not itself information — but neighbourhoods function as villages and there is a live chance she knows someone who knows you | ski lift | down | 15 | Italy
Lecce, Puglia, Italy | Italian; Salentino dialect | expressive but slower and softer than the Barese register, more ornamented, warmer with strangers | a small baroque city carrying a large university and a heavy tourist season, so strangers are unremarkable and being foreign is unexceptional; approaching is easy and means less here than it would forty kilometres inland; in August the population turns over entirely and in February it does not | ski lift | down | 25 | Italy
Provincial coastal Puglia — Molfetta, Barletta, Trani, Bisceglie | Italian; dialect dominant in the old centres | expressive, loud, physically close, interruptive; formal with actual strangers in public and abruptly familiar once placed | towns of sixty to ninety thousand with dense old centres where the same people occupy the same streets nightly; public sociability is high and being approached is ordinary, but it is observed, and being seen talking to you is information that travels; family proximity is a live constraint rather than a background fact | ski lift | same | 8 | Italy
Northern Spain | Spanish, Basque | direct, loud, blunt without hostility | approaching is normal, evenings are long, groups are the default social unit; talking only to her and ignoring her friends fails | ski lift | down | 12 | Spain
Berlin, Germany | German, Turkish, mixed European | blunt, literal, allergic to salesmanship | approaching a stranger is uncommon and mild coldness is not rejection; overt charm reads as insincere; directness is respected | beach; ferry | down | 30 | Germany
Stockholm, Sweden | Swedish, mixed | reserved, quiet, silence is comfortable | cold approach outside nightlife is genuinely unusual; a woman alone in daytime expects not to be approached; even a good approach has a low base rate | - | down | 22 | Sweden
Netherlands | Dutch, Surinamese, Moroccan, Turkish descent | very blunt, unoffended, asks direct questions | approaching is acceptable, indirectness is the sin; she will tell you no in the plainest available words and expects the same honesty back | ski lift | same | 25 | Netherlands
Poland | Polish | formal at first, warm later, sincere | initial coldness is a norm and not a signal; formality must be earned through before familiarity is allowed | beach; ferry | down | 8 | Poland
Melbourne, Australia | Anglo, Greek, Italian, Vietnamese, Chinese | irreverent, deflating, allergic to earnestness | approaching is normal in bars and cafes; sincerity must be delivered with a joke attached or it curdles | ski lift | same | 30 | Australia
Buenos Aires, Argentina | Spanish, Italian descent | affectionate, immediate, physically close | approaching is expected and warmth arrives fast, which makes it hard to read; genuine interest looks like the same thing as manners | ski lift | same | 10 | Argentina
Mexico City, Mexico | Spanish, Indigenous, mixed | courteous, warm, indirect refusals | approaching is common; politeness is obligatory and hides the no; a woman alone in public is often accompanied in ways not immediately visible | ski lift; ferry | down | 8 | Mexico
Tokyo, Japan | Japanese | indirect, minimal, silence carries meaning | cold approach in public is rare and often read as harassment; the viable contexts are narrow — bars, hobby groups, introductions; transport approach is close to taboo | beach | down | 4 | Japan
Seoul, South Korea | Korean | age-conscious, formal registers, group-oriented | approaching a stranger cold is unusual outside nightlife; relative age governs the entire register and must be established early | ski lift | down | 5 | South Korea
Istanbul, Turkey | Turkish, Kurdish | warm, hospitable, formally courteous | approaching a woman alone in public carries more weight than elsewhere and may be read as inappropriate; context and audience matter enormously | ski lift; nightclub | same | 10 | Turkey
São Paulo, Brazil | Portuguese, Italian, Japanese, African descent | warm, physical, quick to familiarity | approaching is normal and friendliness is immediate; the difficulty is that warmth is the baseline, not a signal | ski lift | down | 8 | Brazil
Bangalore, India | Kannada, Tamil, Hindi, mixed | courteous, indirect, family-referencing | cold approach in public is uncommon and often unwelcome; mixed-gender socialising happens in defined settings; family context is never far away | beach; ferry; nightclub | same | 8 | India
